Species.x	Group.x	Median_S.x	LCI_S.x	UCI_S.x	Median_W.x	LCI_W.x	UCI_W.x	Median_diff.x	LCI_diff.x	UCI_diff.x	Group.y	Median_S.y	LCI_S.y	UCI_S.y	Median_W.y	LCI_W.y	UCI_W.y	Median_diff.y	LCI_diff.y	UCI_diff.y	Group	Median_S	LCI_S	UCI_S	Median_W	LCI_W	UCI_W	Median_diff	LCI_diff	UCI_diff	eBird.English.Name.2021	eBird.Scientific.Name.2021	Species.y	jetz.eng.name	Diet.Guild	Family	bodymass	size
Blue-faced Malkoha	0	51.0625	34.75	86	57.1520833333333	50.975	84.3341666666667	-8.66458333333333	-38.7667708333333	26.616875	0	472.5	425.125	479.5	479.5	479.5	479.5	-7	-54.375	0	2	1013.3125	925.42875	1177.675	864.25	824.666458333333	880.478125	154.83125	58.6892708333332	314.7815	Blue-faced Malkoha	Phaenicophaeus viridirostris	Phaenicophaeus viridirostris	Blue-faced Malkoha	Invertebrate	Cuculidae (Cuckoos)	67.00000004615447	Blackbird sized
Chestnut-headed Bee-eater	0	73.58125	68.4958333333333	83.46625	65.3791666666667	56.036875	74	9.21666666666667	-0.283749999999985	21.0404166666667	2	1055.33333333333	1022.25	1076.503125	825.75	810.75	849.11	226.9375	186.25	262.835416666667	2	1657.13333333333	1629.29458333333	1682.94166666667	1314.975	1311.41333333333	1347.13333333333	335.403749999999	297.265833333333	368.710625	Chestnut-headed Bee-eater	Merops leschenaulti	Merops leschenaulti	Chestnut-headed Bee-eater	Invertebrate	Meropidae (Bee-eaters)	27.199999997858125	Bulbul sized
Gray-fronted Green-Pigeon	0	32.75	32.75	47.75	47.8125	41	55.25	-14.5	-22.5	4.13583333333333	0	721.479166666667	649.75	756.75	655.75	624.69375	720.666666666667	58.8	-19.7697916666667	119.753125	2	1251.8625	1231.6796875	1276.768125	1230.75	1226.4840625	1230.75	21.5500000000001	0.929687499999995	47.3877083333328	Gray-fronted Green-Pigeon	Treron affinis	Treron pompadora	not found	Fruit & Nect	Columbidae (Pigeons and Doves)	233.999999779013	Crow sized
Ashy Woodswallow	0	27.25	19.2348958333333	36.6670833333333	18	14.0334375	28.5310416666667	9.02083333333333	-4.77447916666666	19.1896875	2	559.5	490	591.75	419.333333333333	402.5	419.333333333333	140.166666666667	70.6666666666667	175.338541666667	2	1553.15	1445.560625	1577.2125	1112.725	1076.2596875	1139	430.745833333332	314.722499999994	488.201875	Ashy Woodswallow	Artamus fuscus	Artamus fuscus		Invertebrate	Artamidae (Woodswallows, Bellmagpies, and Allies)	39.79999999324703	Bulbul sized
Vernal Hanging-Parrot	0	55.25	48.283125	63.8389583333333	51	48.774375	55.25	4.39375000000003	-5.0603125	13.289375	0	794.25	787.322916666667	798	789.375	774.25	810.75	3.75	-17.25	18.11	2	1452.75	1428.05145833333	1459.33333333333	1343.3	1324.623125	1358.675	111.7	85.821770833333	128.783750000001	Vernal Hanging-Parrot	Loriculus vernalis	Loriculus vernalis	not found	Fruit & Nect	Psittaculidae (Old World Parrots)	35.699999990777464	Bulbul sized
Nilgiri Flowerpecker	2	97.3333333333333	91.7154166666667	104.3390625	77.6666666666667	77.6666666666667	77.6666666666667	19.6666666666667	14.04875	27.6865625	2	1064.375	1058.25	1073.75	1039.25	1022.33333333333	1052	28.4166666666667	10.9156250000001	47.175	2	2035.5	2035.5	2035.5	1788.4	1788.4	1788.4	247.1	247.1	247.1	Nilgiri Flowerpecker	Dicaeum concolor	Dicaeum concolor	not found	Fruit & Nect	Dicaeidae (Flowerpeckers)	6.199999992886914	Sparrow sized
Tickell's Blue Flycatcher	0	74.8625	70.6	80.0046875	74.1666666666667	64.675	77.6666666666667	1.46666666666667	-6.61866666666667	13.0941666666667	2	797.583333333333	769.75	839.666666666667	720.5	671.875	720.666666666667	90.0833333333334	49.7333333333333	141.890625	2	1905.19	1853.0603125	1911.1949375	1788.4	1720.825	1788.4	118.12	64.8375000000001	185.197125	Tickell's Blue Flycatcher	Cyornis tickelliae	Cyornis tickelliae	not found	Invertebrate	Muscicapidae (Old World Flycatchers)	16.210000005654162	Sparrow sized
Purple Sunbird	1	32.75	32.75	32.75	46.75	42.25	51.00125	-14	-18.25125	-9.5	1	465.8125	436.5	479.5	544.75	533	580.0125	-85.8958333333333	-130.404166666667	-58	2	1751.15	1710	1778.66666666667	1479.6	1479.6	1479.6	271.55	230.4	299.135	Purple Sunbird	Cinnyris asiaticus	Nectarinia asiatica	Purple Sunbird	Fruit & Nect	Nectariniidae (Sunbirds and Spiderhunters)	8.100000002263297	Sparrow sized
Plum-headed Parakeet	0	54.875	48.5327083333333	63.25125	54.2875	49.75	62.2347916666667	0.666666666666668	-8.5278125	9.643125	0	832.583333333333	811.75	860.5	804.5	767.75	832	34.75	-11.2135416666666	76.0010416666667	2	1266.1	1240.0375	1270.5	1230.75	1230.75	1230.75	35.349999999999	9.28749999999991	39.75	Plum-headed Parakeet	Psittacula cyanocephala	Psittacula cyanocephala	Plum-headed Parakeet	Fruit & Nect	Psittaculidae (Old World Parrots)	65.98999994497636	Blackbird sized
Long-tailed Shrike	2	489.25	489.25	489.25	365.6875	284	469.2025	123.5625	20.0475	205.25	0	1177.33333333333	1177.33333333333	1230.75	1177.33333333333	1146	1177.33333333333	19.9166666666667	0	78.0510416666667	2	2125.2625	2125.25	2126.19166666667	2078.2	2078	2083.525	47.1083333333331	41.7250000000004	48.0424999999994	Long-tailed Shrike	Lanius schach	Lanius schach	Long-tailed Shrike	Invertebrate	Laniidae (Shrikes)	51.51000001416408	Blackbird sized
