species,LONGITUDE,LATITUDE
species,74.909631,13.711305
species,74.9104044,14.1714147
species,74.9106498,13.713104
species,74.9115673,14.5163098
species,74.9125977,14.1728935
species,74.9137022,13.8715927
species,74.9138932,13.9159911
species,74.914029,13.8744
species,74.9151814,13.9259656
species,74.9161148,13.9733005
species,74.9181885,13.7127511
species,74.9208677,14.0391012
species,74.9211308,14.1454753
species,74.9230828,13.7159077
species,74.9231006,13.865564
species,74.9235736,14.6248663
species,74.9247533,14.650355
species,74.9307125,14.1648372
species,74.9340457,14.6300001
species,74.9394805,14.5769362
species,74.940916,14.571181
species,74.941,14.569
species,74.9523356,14.7089219
species,74.9556049,14.701817
species,74.9559805,14.6984923
species,74.9575933,13.6516636
species,74.9598008,14.7594158
species,74.9734497,14.7271123
species,74.980061,13.9390697
species,74.9816465,14.5540407
species,74.9820476,13.9363482
species,74.9841653,13.6770002
species,74.9873114,13.9887088
species,74.9876124,14.125442
species,74.9951318,13.6947899
species,74.9983195,14.1653807
species,74.9988533,13.9404531
species,75.0024289,13.84042
species,75.0080921,13.3955544
species,75.0116363,13.7683533
species,75.0160716,13.7872244
species,75.0203247,13.4410196
species,75.0210335,14.2316518
species,75.02119,13.361854
species,75.0215384,13.7929743
species,75.0215528,13.7965886
species,75.021708,14.1362843
species,75.022,13.446
species,75.022023,14.1974521
species,75.0235896,13.4620256
species,75.02416,13.35505
species,75.0254689,13.3724233
species,75.0266149,13.8204224
species,75.02668,13.439806
species,75.0274699,13.841516
species,75.0301548,14.0016218
species,75.0325133,13.8252999
species,75.033981,13.8203011
species,75.0355469,13.4727966
species,75.037498,14.114185
species,75.0379246,13.3607277
species,75.0386944,13.4752468
species,75.04,13.4124
species,75.0411307,13.3900984
species,75.043306,13.4740523
species,75.0443801,13.3961763
species,75.044789,13.414853
species,75.0450087,13.4727251
species,75.0467853,13.4762624
species,75.04956,13.40291
species,75.0521169,13.4645195
species,75.0528155,13.9130745
species,75.0529614,13.3316366
species,75.0535375,13.9372988
species,75.05477,13.45944
species,75.0548133,13.3978253
species,75.0551768,13.4563119
species,75.056107,13.9122673
species,75.05641,13.94279
species,75.0569758,13.9142659
species,75.0572358,13.491312
species,75.0585479,13.9158281
species,75.0594091,13.2906546
species,75.0604096,13.4066881
species,75.0604829,14.1706696
species,75.060567,13.9171117
species,75.060915,13.402157
species,75.0610778,14.1725505
species,75.0620452,13.4857387
species,75.0635129,13.4845272
species,75.0639506,14.1011516
species,75.0645308,13.9173294
species,75.0657606,14.0823856
species,75.065774,13.48962
species,75.0665502,13.9281131
species,75.067896,13.7073253
species,75.0691231,14.0998083
species,75.0697346,13.4486911
species,75.07087,13.817141
species,75.0754608,13.8905734
species,75.0765842,14.1039239
species,75.0769163,13.5255273
species,75.0772918,14.3056164
species,75.0773149,13.2632636
species,75.0790077,13.4452399
species,75.0813174,14.3962333
species,75.0844717,13.4404173
species,75.0847513,14.26227
species,75.08511,13.2383739
species,75.0854588,14.1350151
species,75.0872367,14.2763243
species,75.0875776,13.5731485
species,75.088588,13.5178058
species,75.088962,13.520064
species,75.0891953,14.2701455
species,75.0900163,13.5755888
species,75.090271,13.518786
species,75.0907049,13.5021972
species,75.0910004,13.5676659
species,75.0917049,13.5096207
species,75.091766,13.512015
species,75.0928831,13.4661747
species,75.0933143,13.5142913
species,75.0942489,13.5068017
species,75.0950641,13.5757839
species,75.0962296,13.5715107
species,75.0964954,13.5095569
species,75.0980729,13.4317036
species,75.09837,13.22275
species,75.0986296,13.6272879
species,75.0987808,13.6351789
species,75.1009938,13.5106085
species,75.101567,13.226755
species,75.1032403,14.2813296
species,75.1037269,14.1413959
species,75.1044547,14.2757984
species,75.105429,13.5311683
species,75.1055682,13.5731329
species,75.1059255,13.4220294
species,75.1059447,13.2356143
species,75.1060367,14.1397384
species,75.1063823,13.5762788
species,75.1064008,13.5830055
species,75.1066201,13.5155578
species,75.1076091,13.4854486
species,75.1081251,13.57235
species,75.1082253,13.5887204
species,75.108397,13.5761377
species,75.1108799,13.209275
species,75.1114701,13.4745063
species,75.1121134,13.2399377
species,75.1141329,13.4869001
species,75.114811,13.2360878
species,75.1160021,13.2290339
species,75.1166153,14.1388437
species,75.1173387,13.7197445
species,75.118808,13.577189
species,75.1191714,13.4774571
species,75.119174,13.544095
species,75.1192016,13.9446364
species,75.1203167,13.4121629
species,75.1206981,13.219589
species,75.121535,13.192491
species,75.122122,14.127866
species,75.1237375,14.0415852
species,75.124121,13.6304671
species,75.12504,13.523578
species,75.1251501,13.7175143
species,75.1253212,13.7199737
species,75.1253322,13.2311867
species,75.1258065,13.6910635
species,75.1260534,13.5772929
species,75.1264912,14.122686
species,75.1273829,13.6210161
species,75.1277286,13.7170781
species,75.1286356,13.2433606
species,75.1307096,13.5663153
species,75.130875,13.230004
species,75.1325306,13.5873829
species,75.1326797,13.7141866
species,75.132745,13.567184
species,75.13461,13.566398
species,75.1347953,13.2245611
species,75.1359183,13.2219642
species,75.1363731,12.4872557
species,75.1371332,13.2245353
species,75.1391839,13.2232444
species,75.1400686,12.4609053
species,75.14037,12.480763
species,75.141864,13.714795
species,75.1460123,12.5029089
species,75.1463964,13.1243493
species,75.1471007,13.5108182
species,75.1472569,13.5649422
species,75.1488769,12.346298
species,75.148992,12.5026962
species,75.1490364,13.6875854
species,75.1510728,13.8738642
species,75.1513081,13.2837297
species,75.151506,13.513076
species,75.1523121,13.2786759
species,75.1525038,13.5562913
species,75.1525837,14.1673796
species,75.1526384,14.0237864
species,75.1527656,12.5030583
species,75.1528006,12.5299079
species,75.1535225,14.1188675
species,75.1554997,13.80207
species,75.1563123,12.5316978
species,75.156424,12.494789
species,75.1566769,13.811225
species,75.1577584,13.6733485
species,75.1583545,12.4943905
species,75.1584608,13.8061625
species,75.1603058,12.5012082
species,75.16101,13.509777
species,75.161577,12.5526567
species,75.1620137,12.3652202
species,75.1620722,13.8086859
species,75.1621572,12.437654
species,75.1629339,13.810599
species,75.1629938,13.2508797
species,75.1635867,12.5540783
species,75.1640783,12.556595
species,75.1642942,13.5586235
species,75.1649167,12.56105
species,75.1649883,12.5638167
species,75.165174,12.5488351
species,75.1652679,13.8084735
species,75.1663,13.2037
species,75.1664,13.10702
species,75.1665151,12.5515161
species,75.1692295,12.4374147
species,75.1699195,12.3657474
species,75.1707068,12.3770328
species,75.1708,13.406
species,75.1711313,13.1296245
species,75.172707,12.476586
species,75.1728366,12.522691
species,75.1740551,12.4728633
species,75.1741834,13.2028473
species,75.1743689,13.1089141
species,75.1750271,13.1312321
species,75.175404,13.5581708
species,75.175512,13.1334056
species,75.1755255,12.3798115
species,75.1764322,13.6540309
species,75.1776895,12.3336716
species,75.1777785,12.3645062
species,75.1782215,13.2057739
species,75.1783832,13.2075804
species,75.1785904,13.3882426
species,75.1789052,13.6847965
species,75.1794434,12.5116654
species,75.1796704,13.243656
species,75.1803278,14.0138737
species,75.181171,12.573899
